Brand,Product Name,Skin Type,Finish,Price (INR),Coverage
Maybelline,Dream Satin Skin,Dry,Dewy,600,Light
L'Oréal Paris,True Match Lumi,Normal,Dewy,1100,Light
Lakme,Argan Oil Serum Foundation,Dry,Natural,800,Medium
Nykaa,SkinShield Anti-Pollution Matte,Combination,Matte,700,Medium
Colorbar,Amino Skin Radiant Foundation,Oily,Matte,600,Medium
SUGAR Cosmetics,Ace of Face Foundation Stick,Oily,Natural,900,Medium
Kiko Milano,Skin Tone Foundation,Combination,Natural,1200,Medium
PAC,HD Liquid Foundation,Oily,Matte,800,Full
Revlon,ColorStay Makeup,Combination,Matte,700,Full
Faces Canada,Ultime Pro Second Skin,Dry,Dewy,Rs 600,Light
Huda Beauty,#FauxFilter Foundation,Oily,Matte,"Rs 1,500",Full
MAC,Studio Fix Fluid,Combination,Matte,"Rs 1,700",Full
Bobbi Brown,Skin Long-Wear Weightless,Normal,Natural,"Rs 1,800",Medium
Estee Lauder,Double Wear Stay-in-Place,Oily,Matte,"Rs 1,500",Full
Lakme,9 to 5 Primer + Matte,Combination,Matte,Rs 700,Medium
Maybelline,Fit Me Dewy + Smooth,Dry,Dewy,Rs 500,Light
L'Oréal Paris,Infallible 24h Fresh Wear,Normal,Natural,"Rs 1,000",Medium
Smashbox,Studio Skin 15 Hour Wear,Oily,Matte,"Rs 1,200",Full
MAC,Pro Longwear Nourishing,Normal,Natural,"Rs 1,600",Medium
Clinique,Even Better Glow Light Reflecting,Dry,Dewy,"Rs 1,400",Light
Kiko Milano,Smart Hydrating Foundation,Dry,Dewy,Rs 900,Medium
Colorbar,24Hrs Weightless Liquid,Oily,Matte,Rs 600,Medium
Nykaa,SKINgenius Sculpting & Hydrating,Combination,Natural,Rs 700,Medium
Revlon,PhotoReady Candid,Normal,Natural,Rs 800,Medium
SUGAR Cosmetics,Drop The Base Serum Foundation,Dry,Natural,Rs 900,Medium
Wet n Wild,Photo Focus Foundation,Oily,Matte,Rs 500,Medium
L'Oréal Paris,Infallible Shaping Stick,Normal,Natural,"Rs 1,000",Medium
Maybelline,Dream Urban Cover,Combination,Natural,Rs 600,Medium
Lakme,Invisible Finish,Normal,Natural,Rs 500,Light
MAC,Mineralize Moisture,Dry,Dewy,"Rs 1,200",Light
Huda Beauty,Stick Foundation,Combination,Natural,"Rs 1,500",Full
L.A. Girl,Pro Coverage HD Long Wear,Dry,Dewy,Rs 700,Full
PAC,HD Liquid Foundation,Normal,Natural,Rs 800,Medium
Bobbi Brown,Intensive Skin Serum Foundation,Dry,Natural,"Rs 1,800",Medium
Estee Lauder,Futurist Hydra Rescue,Dry,Dewy,"Rs 1,500",Medium
Clinique,Superbalanced Foundation,Combination,Natural,"Rs 1,300",Medium
Smashbox,Halo Healthy Glow,Dry,Dewy,"Rs 1,200",Light
L'Oréal Paris,Infallible 24H Matte Cover,Oily,Matte,"Rs 1,000",Full
Maybelline,Dream Cushion,Dry,Dewy,Rs 700,Medium
Nykaa,Pro Foundation Mixer,Normal,Natural,Rs 600,Medium
Lakme,Absolute Argan Oil Serum,Dry,Dewy,Rs 800,Light
Faces Canada,Weightless Matte Finish,Normal,Matte,Rs 600,Medium
Kiko Milano,Liquid Skin Second Skin,Combination,Dewy,"Rs 1,100",Light
MAC,Studio Waterweight SPF 30,Normal,Natural,"Rs 1,600",Light
Huda Beauty,#FauxFilter Luminous Matte,Oily,Matte,"Rs 1,500",Full
Colorbar,Perfect Match Foundation,Dry,Natural,Rs 700,Medium
SUGAR Cosmetics,Power Clay SPF20 BB Cream,Oily,Matte,Rs 900,Medium
Lakme,Skin Dew Serum Foundation,Dry,Dewy,Rs 800,Light
Revlon,Nearly Naked Makeup,Normal,Natural,Rs 600,Light
Maybelline,Instant Age Rewind,Normal,Natural,Rs 500,Medium
PAC,HD Liquid Foundation Stick,Oily,Matte,Rs 800,Medium
Estee Lauder,Double Wear Nude Water Fresh,Combination,Natural,"Rs 1,500",Full
NARS,Natural Radiant Longwear Foundation,Oily,Dewy,"Rs 3,750",Full
L'Oréal Paris,Infallible Pro-Glow Foundation,Oily,Dewy,"Rs 1,200",Medium
Maybelline New York,Fit Me Dewy + Smooth Foundation,Oily,Dewy,Rs 600,Light
Too Faced,Born This Way Foundation,Oily,Dewy,"Rs 3,200",Full
Clinique,Even Better Makeup,Oily,Dewy,"Rs 3,300",Medium
Maybelline,Fit Me Matte + Poreless,Dry,Matte,Rs 499,Medium
L'Oréal Paris,Infallible Pro-Matte,Dry,Matte,"Rs 1,200",Full
Estée Lauder,Double Wear Stay-in-Place,Dry,Matte,"Rs 3,750",Full
Revlon,ColorStay Makeup,Dry,Matte,"Rs 1,200",Full
Fenty Beauty,Pro Filt'r Soft Matte,Dry,Matte,"Rs 2,800",Full
NARS,All Day Luminous Weightless,Dry,Matte,"Rs 3,200",Full
Clinique,Stay-Matte Oil-Free,Dry,Matte,"Rs 2,500",Full
NYX,Can't Stop Won't Stop,Dry,Matte,"Rs 1,000",Full
MAC,Studio Fix Fluid,Dry,Matte,"Rs 3,000",Full
Wet n Wild,Photo Focus Foundation,Dry,Matte,Rs 499,Medium
